Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Bajaj,Chrome 72.0.3626.119,,2019-03-06 18:28:42,2019-03-06 18:30:28,1m - 46.053s,FAILED
,,,,,,
Test Cases/Test1By Chirag,Chrome 72.0.3626.119,,2019-03-06 18:28:43,2019-03-06 18:29:33,50.403s,FAILED
"openBrowser(""https://www.amazon.com/"")",Chrome 72.0.3626.119,,2019-03-06 18:28:43,2019-03-06 18:28:53,9.559s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 72.0.3626.119,,2019-03-06 18:28:53,2019-03-06 18:28:55,2.313s,PASSED
"for ([rownum = 1, rownum <= findTestData(""First Test/1st"").getRowNumbers(), (rownum++)])",Chrome 72.0.3626.119,,2019-03-06 18:28:55,2019-03-06 18:28:58,2.785s,PASSED
"click(findTestObject(""Page_Customer Chirag/Page_Amazon.com alexa/SearchIcon""))",Chrome 72.0.3626.119,,2019-03-06 18:28:58,2019-03-06 18:29:01,2.924s,PASSED
"sendKeys(findTestObject(null), Keys.chord(CONTROL, ""a""))",Chrome 72.0.3626.119,,2019-03-06 18:29:01,2019-03-06 18:29:01,0.151s,PASSED
"itemlink = modifyObjectProperty(findTestObject(""Page_Customer Chirag/Page_Amazon.com alexa/ProductToClick""), ""data-attribute"", ""equals"", findTestData(""First Test/1st"").getValue(2, 1), true)",Chrome 72.0.3626.119,,2019-03-06 18:29:01,2019-03-06 18:29:01,0.035s,PASSED
click(itemlink),Chrome 72.0.3626.119,,2019-03-06 18:29:01,2019-03-06 18:29:33,32.163s,FAILED
,,,,,,
Test Cases/Demo,Chrome 72.0.3626.119,,2019-03-06 18:29:33,2019-03-06 18:30:28,54.705s,FAILED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-06 18:29:33,2019-03-06 18:29:36,2.953s,PASSED
"navigateToUrl(""https://uat-pos--uat.cs72.force.com/FOS/login"")",Chrome 72.0.3626.119,,2019-03-06 18:29:36,2019-03-06 18:29:44,7.867s,PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-06 18:29:44,2019-03-06 18:29:46,2.081s,PASSED
"setText(findTestObject(""Page_Login  FOS Community/input_Username_username""), ""cdprimedealer_fos@bfl.in"")",Chrome 72.0.3626.119,,2019-03-06 18:29:46,2019-03-06 18:29:46,0.162s,PASSED
"setEncryptedText(findTestObject(""Page_Login  FOS Community/input_Password_pw""), ""3zsWnKN+YWTTdAG8/sekZA=="")",Chrome 72.0.3626.119,,2019-03-06 18:29:46,2019-03-06 18:29:46,0.157s,PASSED
"click(findTestObject(""Page_Login  FOS Community/input_Password_Login""))",Chrome 72.0.3626.119,,2019-03-06 18:29:46,2019-03-06 18:29:48,1.116s,PASSED
"click(findTestObject(""Object Repository/a_Search""))",Chrome 72.0.3626.119,,2019-03-06 18:29:48,2019-03-06 18:29:56,8.393s,PASSED
"setText(findTestObject(""Page_Search Customer/input_Mobile Number (New Custo""), ""8201032019"")",Chrome 72.0.3626.119,,2019-03-06 18:29:56,2019-03-06 18:30:28,31.794s,FAILED
